"","optim 1","optim 2","optim 3","optim 4","optim 5","ratio","sub optim 1","sub optim 2","sub optim 3","sub optim 4","sub optim 5"
"1",10,26,28,30,34,1,10,26,28,30,34
"2",3,8,25,27,36,1,3,8,25,27,36
"3",8,15,22,42,47,1,8,15,22,42,47
"4",2,12,33,49,50,1,2,12,33,49,50
"5",22,24,28,29,47,0.989,22,24,29,30,47
"6",2,15,45,47,50,1,2,15,45,47,50
"7",20,21,22,44,46,1,20,21,22,44,46
"8",11,15,31,35,38,1,11,15,31,35,38
"9",18,31,35,39,40,1,18,31,35,39,40
"10",17,26,33,49,50,1,17,26,33,49,50
"11",14,30,37,40,44,1,14,30,37,40,44
"12",9,11,18,26,31,1,9,11,18,26,31
"13",8,25,38,39,50,1,8,25,38,39,50
"14",1,11,27,31,45,1,1,11,27,31,45
"15",1,13,17,18,34,1,1,13,17,18,34
"16",9,16,20,23,38,1,9,16,20,23,38
"17",5,7,9,18,21,1,5,7,9,18,21
"18",8,15,37,43,48,1,8,15,37,43,48
"19",4,10,12,32,46,0.991,4,10,26,32,46
"20",3,4,22,44,47,1,3,4,22,44,47
"21",22,24,33,36,50,1,22,24,33,36,50
"22",3,14,34,45,50,1,3,14,34,45,50
"23",1,2,5,18,31,1,1,2,5,18,31
"24",3,13,15,17,41,1,3,13,15,17,41
"25",1,3,8,28,49,0.992,1,3,8,45,49
"26",2,4,6,24,41,1,2,4,6,24,41
"27",17,24,47,48,49,1,17,24,47,48,49
"28",6,12,34,35,46,1,6,12,34,35,46
"29",2,23,38,47,48,1,2,23,38,47,48
"30",8,10,14,32,40,1,8,10,14,32,40
"31",7,25,32,36,48,1,7,25,32,36,48
"32",24,34,35,40,48,0.999,17,24,34,35,48
"33",3,29,32,43,49,1,3,29,32,43,49
"34",13,23,29,30,49,0.995,23,29,30,38,49
"35",6,13,14,21,39,1,6,13,14,21,39
"36",1,19,24,31,40,1,1,19,24,31,40
"37",17,21,27,46,48,1,17,21,27,46,48
"38",5,16,29,40,43,1,5,16,29,40,43
"39",2,6,30,35,38,1,2,6,30,35,38
"40",3,10,11,33,42,1,3,10,11,33,42
"41",17,22,34,39,47,1,17,22,34,39,47
"42",1,12,14,23,24,1,1,12,14,23,24
"43",3,13,17,36,43,1,3,13,17,36,43
"44",12,29,32,38,45,1,12,29,32,38,45
"45",5,23,26,32,49,1,5,23,26,32,49
"46",9,11,16,17,35,1,9,11,16,17,35
"47",14,23,24,27,36,0.99,20,23,24,27,36
"48",2,7,23,24,49,1,2,7,23,24,49
"49",6,21,26,36,39,1,6,21,26,36,39
"50",12,13,16,28,48,1,12,13,16,28,48
"51",22,24,26,31,50,1,22,24,26,31,50
"52",22,29,36,40,41,1,22,29,36,40,41
"53",2,5,6,30,33,1,2,5,6,30,33
"54",2,14,22,25,35,1,2,14,22,25,35
"55",16,18,33,37,47,0.98,16,18,25,33,37
"56",17,32,34,46,48,1,17,32,34,46,48
