,k1_10,k1_9,k1_8,k1_7,k1_6,k1_5,k1_4,k1_3,k1_2
match_count_0,0,0,0,0,0,0,0,0,0
match_count_1,0,0,0,0,0,0,0,2,0
match_count_2,0,0,0,0,0,0,2,8,100
match_count_3,0,0,0,0,0,3,15,90,
match_count_4,0,0,0,0,0,14,83,,
match_count_5,0,0,0,0,7,83,,,
match_count_6,0,0,0,3,93,,,,
match_count_7,0,0,6,97,,,,,
match_count_8,0,6,94,,,,,,
match_count_9,9,94,,,,,,,
match_count_10,91,,,,,,,,
mean_ratio,0.99988,0.999895,0.999717,0.999691,0.999572,0.997111,0.996984,0.995956,1
mean_ratio_var_iset_oset,1.000022573,1.000023419,1.000065572,1.000083887,1.000140936,1.00051404,1.000523925,1.000500387,1
,,,,,,,,,
,1,1,1,1,1,0.997,0.997,0.996,1
,1,1,1,1,1,1.001,1.001,1.001,1
