"","k1_10","k1_9","k1_8","k1_7","k1_6","k1_5","k1_4","k1_3"
"match_count_start_30",0,0,0,0,0,0,0,0
"match_count_start_31",0,0,0,0,0,0,0,0
"match_count_start_32",0,0,0,0,0,0,1,0
"match_count_start_33",0,0,0,0,0,1,19,100
"match_count_start_34",0,0,0,0,0,13,80,0
"match_count_start_35",0,0,0,0,7,86,0,0
"match_count_start_36",0,0,0,3,93,0,0,0
"match_count_start_37",0,0,6,97,0,0,1,100
"match_count_start_38",0,6,94,0,0,0,19,0
"match_count_start_39",9,94,0,0,0,1,80,0
"match_count_start_310",91,0,0,0,0,13,0,0
"mean_ratio_var_iset_start_3_oset",1.00002257336343,1.00002341920375,1.00006557246212,1.00004115226337,1.00011944600598,1.00032983763631,1.00052229243195,1
