"","V1","V2"
"1",0.0603,0.0603
"2",0.0804,0.0804
"3",0.0634,0.0634
"4",0.0567,0.0567
"5",0.0769,0.0769
"6",0.0594,0.0594
"7",0.0668,0.0668
"8",0.0581,0.0581
"9",0.0701,0.0701
"10",0.067,0.067
"11",0.0729,0.0729
"12",0.0648,0.0648
"13",0.0633,0.0633
"14",0.0541,0.0541
"15",0.0563,0.0563
"16",0.0525,0.0525
"17",0.0681,0.0681
"18",0.061,0.061
"19",0.0616,0.0616
"20",0.0719,0.0719
"21",0.0632,0.0632
"22",0.0647,0.0647
"23",0.0577,0.0577
"24",0.0539,0.0539
"25",0.0711,0.0711
"26",0.0599,0.0599
"27",0.0716,0.0716
"28",0.0676,0.0676
"29",0.0679,0.0679
"30",0.0657,0.0657
"31",0.0558,0.0558
"32",0.0598,0.0598
"33",0.0592,0.0592
"34",0.0674,0.0674
"35",0.0505,0.0505
"36",0.0642,0.0642
"37",0.0846,0.0846
"38",0.061,0.061
"39",0.0661,0.0661
"40",0.0536,0.0536
"41",0.0594,0.0594
"42",0.0614,0.0614
"43",0.0602,0.0602
"44",0.0875,0.0875
"45",0.0591,0.0591
"46",0.0745,0.0745
"47",0.0635,0.0635
"48",0.064,0.064
"49",0.0644,0.0644
"50",0.0615,0.0615
"51",0.066,0.066
"52",0.0683,0.0683
"53",0.0696,0.0696
"54",0.0732,0.0732
"55",0.066,0.066
"56",0.0592,0.0592
"57",0.0733,0.0733
"58",0.068,0.068
"59",0.0557,0.0557
"60",0.073,0.073
"61",0.059,0.059
"62",0.0568,0.0568
"63",0.0537,0.0537
"64",0.0506,0.0506
"65",0.0507,0.0507
"66",0.0581,0.0581
"67",0.0745,0.0745
"68",0.0597,0.0597
"69",0.0605,0.0605
"70",0.0536,0.0536
"71",0.0947,0.0947
"72",0.0655,0.0655
"73",0.0553,0.0553
"74",0.0684,0.0684
"75",0.0687,0.0687
"76",0.061,0.061
"77",0.0553,0.0553
"78",0.0699,0.0699
"79",0.0649,0.0649
"80",0.0586,0.0586
"81",0.0614,0.0614
"82",0.0754,0.0754
"83",0.0779,0.0779
"84",0.0558,0.0558
"85",0.067,0.067
"86",0.0598,0.0598
"87",0.0572,0.0572
"88",0.0609,0.0609
"89",0.0496,0.0496
"90",0.0665,0.0665
"91",0.0655,0.0655
"92",0.0765,0.0765
"93",0.0572,0.0572
"94",0.0607,0.0607
"95",0.0755,0.0755
"96",0.0619,0.0619
"97",0.0697,0.0697
"98",0.0676,0.0676
"99",0.0609,0.0609
"100",0.0596,0.0596
