"","match_count_0","match_count_1","match_count_2","min_var_oset","var_iset","max_var_oset","ratio_obj_iset_oset"
"1",0,0,1,0.0548,0.0548,0.0603,1
"2",0,0,1,0.0667,0.0667,0.0804,1
"3",0,0,1,0.0566,0.0566,0.0634,1
"4",0,0,1,0.0513,0.0513,0.0567,1
"5",0,0,1,0.0622,0.0622,0.0769,1
"6",0,0,1,0.0535,0.0535,0.0594,1
"7",0,0,1,0.0576,0.0576,0.0668,1
"8",0,0,1,0.0531,0.0531,0.0581,1
"9",0,0,1,0.0577,0.0577,0.0701,1
"10",0,0,1,0.0587,0.0587,0.067,1
"11",0,0,1,0.0647,0.0647,0.0729,1
"12",0,0,1,0.0577,0.0577,0.0648,1
"13",0,0,1,0.0547,0.0547,0.0633,1
"14",0,0,1,0.0504,0.0504,0.0541,1
"15",0,0,1,0.0509,0.0509,0.0563,1
"16",0,0,1,0.0482,0.0482,0.0525,1
"17",0,0,1,0.058,0.058,0.0681,1
"18",0,0,1,0.0542,0.0542,0.061,1
"19",0,0,1,0.0542,0.0542,0.0616,1
"20",0,0,1,0.0583,0.0583,0.0719,1
"21",0,0,1,0.0557,0.0557,0.0632,1
"22",0,0,1,0.058,0.058,0.0647,1
"23",0,0,1,0.0523,0.0523,0.0577,1
"24",0,0,1,0.0495,0.0495,0.0539,1
"25",0,0,1,0.0587,0.0587,0.0711,1
"26",0,0,1,0.0524,0.0524,0.0599,1
"27",0,0,1,0.0587,0.0587,0.0716,1
"28",0,0,1,0.0586,0.0586,0.0676,1
"29",0,0,1,0.0541,0.0541,0.0679,1
"30",0,0,1,0.057,0.057,0.0657,1
"31",0,0,1,0.0504,0.0504,0.0558,1
"32",0,0,1,0.0537,0.0537,0.0598,1
"33",0,0,1,0.0544,0.0544,0.0592,1
"34",0,0,1,0.0586,0.0586,0.0674,1
"35",0,0,1,0.0458,0.0458,0.0505,1
"36",0,0,1,0.055,0.055,0.0642,1
"37",0,0,1,0.0675,0.0675,0.0846,1
"38",0,0,1,0.0553,0.0553,0.061,1
"39",0,0,1,0.0576,0.0576,0.0661,1
"40",0,0,1,0.0497,0.0497,0.0536,1
"41",0,0,1,0.0535,0.0535,0.0594,1
"42",0,0,1,0.0535,0.0535,0.0614,1
"43",0,0,1,0.054,0.054,0.0602,1
"44",0,0,1,0.0704,0.0704,0.0875,1
"45",0,0,1,0.0517,0.0517,0.0591,1
"46",0,0,1,0.0623,0.0623,0.0745,1
"47",0,0,1,0.0546,0.0546,0.0635,1
"48",0,0,1,0.0554,0.0554,0.064,1
"49",0,0,1,0.0566,0.0566,0.0644,1
"50",0,0,1,0.0518,0.0518,0.0615,1
"51",0,0,1,0.0586,0.0586,0.066,1
"52",0,0,1,0.0585,0.0585,0.0683,1
"53",0,0,1,0.0549,0.0549,0.0696,1
"54",0,0,1,0.0616,0.0616,0.0732,1
"55",0,0,1,0.0587,0.0587,0.066,1
"56",0,0,1,0.0536,0.0536,0.0592,1
"57",0,0,1,0.0611,0.0611,0.0733,1
"58",0,0,1,0.0591,0.0591,0.068,1
"59",0,0,1,0.0518,0.0518,0.0557,1
"60",0,0,1,0.0615,0.0615,0.073,1
"61",0,0,1,0.0512,0.0512,0.059,1
"62",0,0,1,0.052,0.052,0.0568,1
"63",0,0,1,0.05,0.05,0.0537,1
"64",0,0,1,0.0464,0.0464,0.0506,1
"65",0,0,1,0.047,0.047,0.0507,1
"66",0,0,1,0.0524,0.0524,0.0581,1
"67",0,0,1,0.0617,0.0617,0.0745,1
"68",0,0,1,0.0534,0.0534,0.0597,1
"69",0,0,1,0.0526,0.0526,0.0605,1
"70",0,0,1,0.0494,0.0494,0.0536,1
"71",0,0,1,0.0731,0.0731,0.0947,1
"72",0,0,1,0.058,0.058,0.0655,1
"73",0,0,1,0.0502,0.0502,0.0553,1
"74",0,0,1,0.058,0.058,0.0684,1
"75",0,0,1,0.0588,0.0588,0.0687,1
"76",0,0,1,0.0514,0.0514,0.061,1
"77",0,0,1,0.0514,0.0514,0.0553,1
"78",0,0,1,0.0564,0.0564,0.0699,1
"79",0,0,1,0.0561,0.0561,0.0649,1
"80",0,0,1,0.0529,0.0529,0.0586,1
"81",0,0,1,0.0541,0.0541,0.0614,1
"82",0,0,1,0.0638,0.0638,0.0754,1
"83",0,0,1,0.0652,0.0652,0.0779,1
"84",0,0,1,0.05,0.05,0.0558,1
"85",0,0,1,0.0545,0.0545,0.067,1
"86",0,0,1,0.0535,0.0535,0.0598,1
"87",0,0,1,0.0521,0.0521,0.0572,1
"88",0,0,1,0.0542,0.0542,0.0609,1
"89",0,0,1,0.0463,0.0463,0.0496,1
"90",0,0,1,0.0573,0.0573,0.0665,1
"91",0,0,1,0.058,0.058,0.0655,1
"92",0,0,1,0.062,0.062,0.0765,1
"93",0,0,1,0.0524,0.0524,0.0572,1
"94",0,0,1,0.0533,0.0533,0.0607,1
"95",0,0,1,0.0611,0.0611,0.0755,1
"96",0,0,1,0.0563,0.0563,0.0619,1
"97",0,0,1,0.0615,0.0615,0.0697,1
"98",0,0,1,0.0593,0.0593,0.0676,1
"99",0,0,1,0.0531,0.0531,0.0609,1
"100",0,0,1,0.0542,0.0542,0.0596,1
