"","V1","V2"
"1",0.0394,0.0394
"2",0.0384,0.0384
"3",0.0364,0.0364
"4",0.036,0.036
"5",0.0374,0.0374
"6",0.0372,0.0372
"7",0.0367,0.0367
"8",0.0364,0.0364
"9",0.0367,0.0367
"10",0.0386,0.0386
"11",0.0392,0.0392
"12",0.0381,0.0381
"13",0.0361,0.0361
"14",0.036,0.036
"15",0.0375,0.0375
"16",0.0355,0.0355
"17",0.0389,0.0389
"18",0.037,0.037
"19",0.0362,0.0362
"20",0.0364,0.0364
"21",0.0379,0.0379
"22",0.0385,0.0385
"23",0.0368,0.0368
"24",0.0358,0.0358
"25",0.0365,0.0365
"26",0.0365,0.0365
"27",0.0374,0.0374
"28",0.038,0.038
"29",0.0367,0.0367
"30",0.036,0.036
"31",0.0366,0.0366
"32",0.036,0.036
"33",0.0358,0.0358
"34",0.0365,0.0365
"35",0.0359,0.0359
"36",0.0388,0.0388
"37",0.037,0.037
"38",0.0364,0.0364
"39",0.0362,0.0362
"40",0.0353,0.0353
"41",0.036,0.036
"42",0.0366,0.0366
"43",0.0368,0.0368
"44",0.0381,0.0381
"45",0.0362,0.0362
"46",0.039,0.039
"47",0.0364,0.0364
"48",0.0373,0.0373
"49",0.0362,0.0362
"50",0.0363,0.0363
"51",0.0431,0.0431
"52",0.0364,0.0364
"53",0.0378,0.0378
"54",0.0365,0.0365
"55",0.0412,0.0412
"56",0.0372,0.0372
"57",0.0367,0.0367
"58",0.0373,0.0373
"59",0.0356,0.0356
"60",0.0367,0.0367
"61",0.0367,0.0367
"62",0.036,0.036
"63",0.0357,0.0357
"64",0.0363,0.0363
"65",0.0357,0.0357
"66",0.0372,0.0372
"67",0.0364,0.0364
"68",0.0365,0.0365
"69",0.0362,0.0362
"70",0.0358,0.0358
"71",0.0377,0.0377
"72",0.0363,0.0363
"73",0.036,0.036
"74",0.0368,0.0368
"75",0.0366,0.0366
"76",0.0364,0.0364
"77",0.0368,0.0368
"78",0.0366,0.0366
"79",0.0367,0.0367
"80",0.039,0.039
"81",0.037,0.037
"82",0.0365,0.0365
"83",0.041,0.041
"84",0.0359,0.0359
"85",0.0364,0.0364
"86",0.036,0.036
"87",0.0356,0.0356
"88",0.037,0.037
"89",0.0356,0.0356
"90",0.0364,0.0364
"91",0.0373,0.0373
"92",0.0368,0.0368
"93",0.0367,0.0367
"94",0.036,0.036
"95",0.0368,0.0368
"96",0.036,0.036
"97",0.0371,0.0371
"98",0.0367,0.0367
"99",0.0392,0.0392
"100",0.0363,0.0363
