1-pi_i,pi_i,n_i
0.4130,0.5870,1150
0.2787,0.7213,1012
0.7322,0.2678,1094
0.3262,0.6738,1456
0.4680,0.5320,1000
0.6252,0.3748,1526
0.4082,0.5918,1482
0.3124,0.6876,1511
0.4683,0.5317,993
0.4315,0.5685,985
0.3270,0.6730,2205
0.2879,0.7121,1202
0.5548,0.4452,1523
0.5184,0.4816,1522
0.7771,0.2229,1198
0.2744,0.7256,1013
0.3426,0.6574,1010
0.5876,0.4124,1552
0.8410,0.1590,1975
0.2922,0.7078,996
0.4246,0.5754,1187
0.4204,0.5796,2260
0.5000,0.5000,1200
0.4220,0.5780,1500
0.2233,0.7767,1218
0.3409,0.6591,1490
0.3800,0.6200,1192
0.3129,0.6871,2103
0.2746,0.7254,1300
0.2670,0.7330,2000
0.5959,0.4041,1168
0.1741,0.8259,1867
0.2854,0.7146,820
0.4412,0.5588,1759
0.2683,0.7317,1200
0.6201,0.3799,995
0.4360,0.5640,1204
0.4008,0.5992,1200
0.4787,0.5213,963
0.1712,0.8288,1057
0.4266,0.5734,1479
0.5606,0.4394,2444
0.3484,0.6516,1527
0.2807,0.7193,1970
0.4026,0.5974,1058
0.4216,0.5784,1174
0.3680,0.6320,3503
0.5004,0.4996,1161
0.2456,0.7544,1197
0.3300,0.6700,1203
0.4059,0.5941,1190
0.4241,0.5759,995
0.5789,0.4211,1197
0.3424,0.6576,1580
0.6433,0.3567,1500
0.3480,0.6520,2210
0.2941,0.7059,986
0.7699,0.2301,1486
0.6340,0.3660,981
0.4383,0.5617,4041
0.6333,0.3667,1500
